rank,zip,population,income,startups,national_rank,unit,ca,station,line,income_index,startups_index,income_prop,startups_prop,total entries
1,10007,3522,112947,4,132,R044,R210,BROOKLYN BRIDGE,456JZ,2.25,0.36,0.06,0.01,1573620
1,10007,3522,112947,4,132,R044,R210A,BROOKLYN BRIDGE,JZ456,2.25,0.36,0.06,0.01,496356
1,10007,3522,112947,4,132,R029,N091,CHAMBERS ST,ACE23,2.25,0.36,0.06,0.01,1267760
1,10007,3522,112947,4,132,R029,N092,CHAMBERS ST,ACE23,2.25,0.36,0.06,0.01,2332054
1,10007,3522,112947,4,132,R030,R116,CHAMBERS ST,123,2.25,0.36,0.06,0.01,2090235
1,10007,3522,112947,4,132,R044,A069,CHAMBERS ST,456JZ,2.25,0.36,0.06,0.01,619642
1,10007,3522,112947,4,132,R044,A071,CHAMBERS ST,JZ456,2.25,0.36,0.06,0.01,429611
1,10007,3522,112947,4,132,R029,R115,PARK PLACE,23ACE,2.25,0.36,0.06,0.01,355506
1,10007,3522,112947,4,132,R029,N094,WORLD TRADE CTR,23ACE,2.25,0.36,0.06,0.01,1562081
4,10004,1225,101868,7,238,R125,A083,BROAD ST,JZ,2.03,0.63,0.05,0.02,208749
4,10004,1225,101868,7,238,R125,A084,BROAD ST,JZ,2.03,0.63,0.05,0.02,400552
4,10004,1225,101868,7,238,R125,A085,BROAD ST,JZ,2.03,0.63,0.05,0.02,0
4,10004,1225,101868,7,238,R001,A060,WHITEHALL ST,R1,2.03,0.63,0.05,0.02,1316681
4,10004,1225,101868,7,238,R001,A058,WHITEHALL ST,R1,2.03,0.63,0.05,0.02,408599
7,10006,1447,81334,2,766,R227,A055,RECTOR ST,R,1.62,0.18,0.04,0.0,219067
7,10006,1447,81334,2,766,R227,A054,RECTOR ST,R,1.62,0.18,0.04,0.0,433617
7,10006,1447,81334,2,766,R304,R103,RECTOR ST,1,1.62,0.18,0.04,0.0,584212
7,10006,1447,81334,2,766,R304,R102,RECTOR ST,1,1.62,0.18,0.04,0.0,401680
8,10022,30642,80406,6,820,R015,N303,5 AVE-53 ST,EM,1.6,0.54,0.04,0.01,1470217
8,10022,30642,80406,6,820,R015,N304,5 AVE-53 ST,EM,1.6,0.54,0.04,0.01,987712
8,10022,30642,80406,6,820,R049,R243,51 ST,6,1.6,0.54,0.04,0.01,981049
8,10022,30642,80406,6,820,R049,R242,51 ST,6,1.6,0.54,0.04,0.01,1134089
8,10022,30642,80406,6,820,R049,R242A,51 ST,6,1.6,0.54,0.04,0.01,69550
8,10022,30642,80406,6,820,R050,R244,59 ST,456NQR,1.6,0.54,0.04,0.01,1389933
8,10022,30642,80406,6,820,R050,R244A,59 ST,456NQR,1.6,0.54,0.04,0.01,1447432
8,10022,30642,80406,6,820,R051,R245,59 ST,456NQR,1.6,0.54,0.04,0.01,861250
8,10022,30642,80406,6,820,R051,R245A,59 ST,456NQR,1.6,0.54,0.04,0.01,1302746
8,10022,30642,80406,6,820,R051,A002,LEXINGTON AVE,456NQR,1.6,0.54,0.04,0.01,1719564
8,10022,30642,80406,6,820,R468,TRAM1,RIT-MANHATTAN,R,1.6,0.54,0.04,0.01,489702
9,10005,884,79517,4,860,R043,R203,WALL ST,45,1.58,0.36,0.04,0.01,1766961
9,10005,884,79517,4,860,R043,R203A,WALL ST,45,1.58,0.36,0.04,0.01,80165
