,0,1,2,3,4,5,6,7
260,R248,H007,1 AVE,L,BMT,40.730901,-73.981719,10009
261,R248,H008,1 AVE,L,BMT,40.730901,-73.981719,10009
446,R180,R252,103 ST,6,IRT,40.790582,-73.947473,10029
342,R191,R170,103 ST,1,IRT,40.799354,-73.968329,10025
371,R314,N037,103 ST,BC,IND,40.796105,-73.961399,10025
665,R208,R529,103 ST-CORONA,7,IRT,40.749858,-73.862672,11368
692,R007,J034,104 ST,JZ,BMT,40.695184,-73.844326,11418
456,R181,R253,110 ST,6,IRT,40.795066,-73.944297,10029
457,R181,R254,110 ST,6,IRT,40.795066,-73.944297,10029
350,R192,R172,110 ST-CATHEDRL,1,IRT,40.804032,-73.966742,10025
351,R192,R171,110 ST-CATHEDRL,1,IRT,40.804032,-73.966742,10025
414,R323,R301,110 ST-CPN,23,IRT,40.79911,-73.951807,10026
701,R008,J035,111 ST,J,BMT,40.697405,-73.836354,11418
676,R310,R530,111 ST,7,IRT,40.75176,-73.855183,11368
465,R182,R256,116 ST,6,IRT,40.798574,-73.941593,10029
466,R182,R257,116 ST,6,IRT,40.798574,-73.941593,10029
431,R324,R303,116 ST,23,IRT,40.802098,-73.949625,10026
432,R324,R302,116 ST,23,IRT,40.802098,-73.949625,10026
396,R333,N030,116 ST,BC,IND,40.805072,-73.954833,10026
397,R333,N029,116 ST,BC,IND,40.805072,-73.954833,10026
359,R159,R173,116 ST-COLUMBIA,1,IRT,40.80819,-73.964124,10027
716,R009,J037,121 ST,JZ,BMT,40.700536,-73.828382,11418
379,R034,R174,125 ST,1,IRT,40.815596,-73.958395,10027
412,R102,N026,125 ST,ACBD,IND,40.811056,-73.952386,10027
413,R102,N025,125 ST,ACBD,IND,40.811056,-73.952386,10027
485,R132,R258,125 ST,456,IRT,40.804406,-73.937452,10035
448,R206,R304,125 ST,23,IRT,40.808076,-73.945906,10027
449,R206,R305,125 ST,23,IRT,40.808076,-73.945906,10027
468,R207,R306,135 ST,23,IRT,40.814459,-73.940992,10037
469,R207,R307,135 ST,23,IRT,40.814459,-73.940992,10037
440,R332,N024,135 ST,BC,IND,40.817902,-73.947644,10030
441,R332,N023,135 ST,BC,IND,40.817902,-73.947644,10030
442,R332,N022,135 ST,BC,IND,40.817902,-73.947644,10030
403,R169,R176,137 ST-CITY COL,1,IRT,40.821994,-73.953674,10031
404,R169,R175,137 ST-CITY COL,1,IRT,40.821994,-73.953674,10031
511,R445,R401,138 ST-3 AVE,6,IRT,40.810512,-73.926165,10454
501,R307,R259,138 ST-GR CONC,45,IRT,40.813208,-73.929877,10451
99,R105,R127,14 ST,123FLM,IRT,40.738007,-73.998381,10011
100,R105,R128,14 ST,123FLM,IRT,40.738007,-73.998381,10011
87,R175,N078,14 ST,ACEL,IND,40.740388,-74.002104,10011
113,R163,N512,14 ST-6 AVE,FLM123,IND,40.737348,-73.9969,10011
114,R163,N510,14 ST-6 AVE,FLM123,IND,40.737348,-73.9969,10011
115,R163,N511,14 ST-6 AVE,FLM123,IND,40.737348,-73.9969,10011
116,R163,N513,14 ST-6 AVE,FLM123,IND,40.737348,-73.9969,10011
164,R170,A035,14 ST-UNION SQ,LNQR456,BMT,40.734836,-73.990688,10003
165,R170,A033,14 ST-UNION SQ,456LNQR,BMT,40.734836,-73.990688,10003
166,R170,A034,14 ST-UNION SQ,LNQR456,BMT,40.734836,-73.990688,10003
167,R170,A036,14 ST-UNION SQ,LNQR456,BMT,40.734836,-73.990688,10003
168,R170,A037,14 ST-UNION SQ,LNRQ456,BMT,40.734836,-73.990688,10003
169,R170,R221,14 ST-UNION SQ,LNQR456,IRT,40.734836,-73.990688,10003
458,R101,N020,145 ST,ABCD,IND,40.824787,-73.944232,10031
459,R101,N019,145 ST,ABCD,IND,40.824787,-73.944232,10031
422,R273,R178,145 ST,1,IRT,40.826426,-73.950412,10031
423,R273,R177,145 ST,1,IRT,40.826426,-73.950412,10031
489,R344,R308,145 ST,3,IRT,40.820402,-73.936315,10030
488,R345,R309,148 ST-LENOX,3,IRT,40.823877,-73.936443,10039
541,R053,R311,149 ST-3 AVE,25,IRT,40.816132,-73.917754,10455
542,R053,R310,149 ST-3 AVE,25,IRT,40.816132,-73.917754,10455
509,R205,R261,149 ST-GR CONC,245,IRT,40.818429,-73.926927,10451
510,R205,R260,149 ST-GR CONC,245,IRT,40.818429,-73.926927,10451
117,R545,PTH11,14TH STREET,1,PTH,40.737434,-73.996785,10011
279,R241,N542,15 ST-PROSPECT,FG,IND,40.660376,-73.979509,11215
280,R241,N541,15 ST-PROSPECT,FG,IND,40.660376,-73.979509,11215
482,R315,N202,155 ST,BD,IND,40.829934,-73.938632,10039
467,R331,N017,155 ST,C,IND,40.830551,-73.941486,10032
454,R193,R180,157 ST,1,IRT,40.833879,-73.944726,10032
455,R193,R179,157 ST,1,IRT,40.833879,-73.944726,10032
512,R195,N203,161 ST-YANKEE,BD4,IND,40.827888,-73.925736,10452
513,R195,N204,161 ST-YANKEE,BD4,IND,40.827888,-73.925736,10452
514,R195,N205,161 ST-YANKEE,BD4,IND,40.827888,-73.925736,10452
515,R195,R262,161 ST-YANKEE,BD4,IRT,40.827888,-73.925736,10452
516,R195,R262A,161 ST-YANKEE,4BD,IRT,40.827888,-73.925736,10452
517,R195,R262B,161 ST-YANKEE,4BD,IRT,40.827888,-73.925736,10452
479,R296,N016A,163 ST-AMSTERDM,C,IND,40.835957,-73.939898,10032
536,R104,N207,167 ST,BD,IND,40.833773,-73.91843,10456
537,R104,N206,167 ST,BD,IND,40.833773,-73.91843,10456
525,R221,R283,167 ST,4,IRT,40.835535,-73.92138,10452
475,R035,N012,168 ST-BROADWAY,1AC,IND,40.840778,-73.940091,10032
476,R035,N013,168 ST-BROADWAY,AC1,IND,40.840778,-73.940091,10032
477,R035,R182,168 ST-BROADWAY,1AC,IRT,40.840778,-73.940091,10032
734,R115,N340,169 ST,F,IND,40.710459,-73.7936,11432
735,R115,N340A,169 ST,F,IND,40.710459,-73.7936,11432
540,R243,R284,170 ST,4,IRT,40.840048,-73.917775,10452
