zip,total entries
10001,32552116
10002,8109236
10003,22616391
10004,2334581
10005,2205733
10006,1638576
10007,10726865
10009,2442023
10010,4808427
10011,22406769
10012,4294915
10013,8094413
10014,1375250
10016,5409277
10017,15193139
10018,1203955
10019,30892897
10021,1127965
10022,11853244
10023,13718230
10024,4701238
10025,7685553
10026,3699248
10027,6594927
10028,6535453
10029,3875278
10030,869525
10031,4899158
10032,4335917
10033,3682627
10034,2567856
10035,6690878
10036,15587709
10037,4358052
10038,7745363
10039,808441
10040,2055385
10044,598414
