rank,zip,population,income,startups,national_rank
1,10007,3522,112947,4,132
2,10280,6614,108536,1,157
3,10162,1726,108416,0,158
4,10004,1225,101868,7,238
5,10069,1403,88091,0,507
6,10282,1574,86066,0,591
7,10006,1447,81334,2,766
8,10022,30642,80406,6,820
9,10005,884,79517,4,860
10,10024,61414,78066,5,935
11,10028,44987,77565,1,955
12,10021,102078,75472,2,1082
13,10023,62206,72424,4,1297
14,10128,59856,70031,1,1547
15,10017,16201,69273,5,1611
16,10014,32667,66601,20,1931
17,10016,51217,66342,27,1954
18,10010,26408,62467,56,2471
19,10011,46669,61986,36,2569
20,10003,53673,60891,55,2796
21,10012,26000,58313,34,3310
22,10019,36012,55869,8,3901
23,10044,9520,49976,0,5953
24,10025,97086,49733,1,6044
25,10018,4255,48705,23,6447
26,10036,18751,41002,18,11152
27,10001,17310,40932,44,11228
28,10009,58595,40176,2,11980
29,10013,25042,38304,51,13643
30,10033,58259,31348,0,21836
31,10038,15574,31316,3,21877
32,10034,41756,29479,0,24169
33,10040,46599,27905,0,25782
34,10037,16984,26561,0,27057
35,10032,63842,26237,0,27371
36,10031,60221,24285,0,28645
37,10002,84870,24022,3,28798
38,10027,56168,23150,0,29273
39,10026,30377,22491,1,29581
40,10029,75390,22232,0,29691
41,10030,25847,17970,0,30962
42,10039,21737,17370,0,31063
43,10035,32702,14896,0,31403
44,10177,0,0,0,31896
45,10271,0,0,0,31898
46,10278,0,0,0,31899
47,10279,0,0,0,31900
48,10020,1,0,1,31901
49,10041,0,0,0,32007
50,10048,55,0,0,32008
51,10103,0,0,0,32010
52,10111,0,0,0,32011
53,10112,0,0,0,32012
54,10115,0,0,0,32013
55,10119,0,0,0,32014
56,10152,0,0,0,32015
57,10153,0,0,0,32016
58,10154,0,0,1,32017
59,10167,0,0,0,32018
60,10169,0,0,0,32019
61,10170,1,0,0,32020
62,10171,1,0,0,32021
63,10172,0,0,0,32022
64,10173,0,0,0,32023
