rank,zip,population,income,national_rank
1,10007,3,522,112947,132
2,10280,6,614,108536,157
3,10162,1,726,108416,158
4,10004,1,225,101868,238
5,10069,1,403,88091,507
6,10282,1,574,86066,591
7,10006,1,447,81334,766
8,10022,30,642,80406,820
9,10005,884,79517,860
10,10024,61,414,78066,935
11,10028,44,987,77565,955
12,10021,102,078,75472,1082
13,10023,62,206,72424,1297
14,10128,59,856,70031,1547
15,10017,16,201,69273,1611
16,10014,32,667,66601,1931
17,10016,51,217,66342,1954
18,10010,26,408,62467,2471
19,10011,46,669,61986,2569
20,10003,53,673,60891,2796
21,10012,26,000,58313,3310
22,10019,36,012,55869,3901
23,10044,9,520,49976,5953
24,10025,97,086,49733,6044
25,10018,4,255,48705,6447
26,10036,18,751,41002,11152
27,10001,17,310,40932,11228
28,10009,58,595,40176,11980
29,10013,25,042,38304,13643
30,10033,58,259,31348,21836
31,10038,15,574,31316,21877
32,10034,41,756,29479,24169
33,10040,46,599,27905,25782
34,10037,16,984,26561,27057
35,10032,63,842,26237,27371
36,10031,60,221,24285,28645
37,10002,84,870,24022,28798
38,10027,56,168,23150,29273
39,10026,30,377,22491,29581
40,10029,75,390,22232,29691
41,10030,25,847,17970,30962
42,10039,21,737,17370,31063
43,10035,32,702,14896,31403
44,10177,0,0,31896
45,10271,0,0,31898
46,10278,0,0,31899
47,10279,0,0,31900
48,10020,1,0,31901
49,10041,0,0,32007
50,10048,55,0,32008
51,10103,0,0,32010
52,10111,0,0,32011
53,10112,0,0,32012
54,10115,0,0,32013
55,10119,0,0,32014
56,10152,0,0,32015
57,10153,0,0,32016
58,10154,0,0,32017
59,10167,0,0,32018
60,10169,0,0,32019
61,10170,1,0,32020
62,10171,1,0,32021
63,10172,0,0,32022
64,10173,0,0,32023
