zip,income,startups,station,line,income_index,startups_index,total entries
10007,112947,4,BROOKLYN BRIDGE,456JZ,2.25,0.36,2069976
10007,112947,4,CHAMBERS ST,ACE23,2.25,0.36,6739302
10007,112947,4,PARK PLACE,23ACE,2.25,0.36,355506
10007,112947,4,WORLD TRADE CTR,23ACE,2.25,0.36,1562081
10004,101868,7,BROAD ST,JZ,2.03,0.63,609301
10004,101868,7,WHITEHALL ST,R1,2.03,0.63,1725280
10006,81334,2,RECTOR ST,R,1.62,0.18,1638576
10022,80406,6,5 AVE-53 ST,EM,1.6,0.54,2457929
10022,80406,6,51 ST,6,1.6,0.54,2184688
10022,80406,6,59 ST,456NQR,1.6,0.54,5001361
10022,80406,6,LEXINGTON AVE,456NQR,1.6,0.54,2847529
10022,80406,6,RIT-MANHATTAN,R,1.6,0.54,489702
10005,79517,4,WALL ST,45,1.58,0.36,4707359
10024,78066,5,79 ST,1,1.55,0.45,1697828
10024,78066,5,86 ST,1,1.55,0.45,9538863
10023,72424,4,59 ST-COLUMBUS,1ABCD,1.44,0.36,6982673
10023,72424,4,72 ST,BC,1.44,0.36,5159488
10023,72424,4,81 ST-MUSEUM,BC,1.44,0.36,1576069
10017,69273,5,42 ST-GRD CNTRL,4567S,1.38,0.45,15193139
10014,66601,20,HOUSTON ST,1,1.33,1.8,1375250
10016,66342,27,28 ST,6,1.32,2.43,3757917
10016,66342,27,33 ST,6,1.32,2.43,3098627
10010,62467,56,23 ST,6,1.24,5.04,6344845
10010,62467,56,23 ST-5 AVE,NR,1.24,5.04,2467187
10011,61986,36,14 ST,123FLM,1.23,3.24,4213506
10011,61986,36,14 ST-6 AVE,FLM123,1.23,3.24,1812833
10011,61986,36,14TH STREET,1,1.23,3.24,938698
10011,61986,36,18 ST,1,1.23,3.24,813985
10011,61986,36,23 ST-6 AVE,FM,1.23,3.24,2417387
10011,61986,36,6 AVE,FLM123,1.23,3.24,605876
10011,61986,36,8 AVE,ACEL,1.23,3.24,2856084
10011,61986,36,CHRISTOPHER ST,1,1.23,3.24,1046818
10011,61986,36,TWENTY THIRD ST,1,1.23,3.24,819402
10011,61986,36,W 4 ST-WASH SQ,ABCDEFM,1.23,3.24,4364944
10003,60891,55,14 ST-UNION SQ,LNQR456,1.21,4.95,11084733
10003,60891,55,3 AVE,L,1.21,4.95,734609
10003,60891,55,8 ST-B'WAY NYU,NR,1.21,4.95,1759283
10003,60891,55,ASTOR PLACE,6,1.21,4.95,1614485
10003,60891,55,BOWLING GREEN,45,1.21,4.95,3275502
10003,60891,55,BROADWAY/LAFAY,BDFQ6,1.21,4.95,2424746
10003,60891,55,PRINCE ST-B'WAY,NR,1.21,4.95,1723033
10012,58313,34,BLEECKER ST,6DF,1.16,3.06,1511613
10012,58313,34,BOWERY,JZ,1.16,3.06,373312
10012,58313,34,SPRING ST,CE,1.16,3.06,2409990
10019,55869,8,42 ST-BRYANT PK,BDFM7,1.11,0.72,3916334
10019,55869,8,42 ST-TIMES SQ,1237ACENQRS,1.11,0.72,10615717
10019,55869,8,49 ST-7 AVE,NQR,1.11,0.72,2407340
10019,55869,8,50 ST,1,1.11,0.72,4669337
10019,55869,8,57 ST,F,1.11,0.72,1463261
10019,55869,8,57 ST-7 AVE,NQR,1.11,0.72,2235771
10019,55869,8,7 AVE-53 ST,BDE,1.11,0.72,1723838
10019,55869,8,THIRTY THIRD ST,1,1.11,0.72,2374930
10044,49976,0,ROOSEVELT IS,F,0.99,0.0,598414
10025,49733,1,103 ST,1,0.99,0.09,2557604
10025,49733,1,110 ST-CATHEDRL,1,0.99,0.09,1299181
10025,49733,1,66 ST-LINCOLN,1,0.99,0.09,2212461
10025,49733,1,96 ST,123,0.99,0.09,5169949
10018,48705,23,5 AVE-BRYANT PK,7BDFM,0.97,2.07,1203955
10036,41002,18,42 ST-PA BUS TE,ACENQRS1237,0.82,1.62,9882760
10036,41002,18,47-50 ST-ROCK,BDFM,0.82,1.62,5704949
10001,40932,44,28 ST-BROADWAY,NR,0.81,3.96,1287347
10001,40932,44,34 ST-HERALD SQ,BDFMNQR,0.81,3.96,12113544
10001,40932,44,34 ST-PENN STA,ACE,0.81,3.96,17703958
10009,40176,2,1 AVE,L,0.8,0.18,2442023
10013,38304,51,CANAL ST,JNQRZ6,0.76,4.59,7542243
10013,38304,51,FRANKLIN ST,1,0.76,4.59,552170
10033,31348,0,175 ST,A,0.62,0.0,1363093
10033,31348,0,181 ST,A,0.62,0.0,2319534
10038,31316,3,FULTON ST,ACJZ2345,0.62,0.27,5243737
10034,29479,0,207 ST,1,0.59,0.0,674908
10034,29479,0,215 ST,1,0.59,0.0,195967
10034,29479,0,DYCKMAN-200 ST,A,0.59,0.0,717887
10034,29479,0,INWOOD-207 ST,A,0.59,0.0,979094
10040,27905,0,190 ST,A,0.56,0.0,490518
10040,27905,0,191 ST,1,0.56,0.0,831091
10040,27905,0,DYCKMAN ST,1,0.56,0.0,733776
10037,26561,0,135 ST,23,0.53,0.0,2057794
10032,26237,0,155 ST,C,0.52,0.0,681150
10032,26237,0,157 ST,1,0.52,0.0,1128986
10032,26237,0,163 ST-AMSTERDM,C,0.52,0.0,446519
10032,26237,0,168 ST-BROADWAY,1AC,0.52,0.0,2495761
10031,24285,0,137 ST-CITY COL,1,0.48,0.0,1365409
10031,24285,0,145 ST,ABCD,0.48,0.0,3897248
10002,24022,3,2 AVE,F,0.48,0.27,1747454
10002,24022,3,DELANCEY ST,FJMZ,0.48,0.27,1516107
10002,24022,3,EAST BROADWAY,F,0.48,0.27,1417389
10002,24022,3,ESSEX ST,FJMZ,0.48,0.27,889525
10002,24022,3,GRAND ST,BD,0.48,0.27,2538761
10027,23150,0,116 ST-COLUMBIA,1,0.46,0.0,1352455
10027,23150,0,125 ST,1,0.46,0.0,7822363
10026,22491,1,110 ST-CPN,23,0.45,0.09,1007352
10026,22491,1,116 ST,23,0.45,0.09,3590415
10026,22491,1,CATHEDRL-110 ST,BC,0.45,0.09,770332
10029,22232,0,110 ST,6,0.44,0.0,1459069
10039,17370,0,148 ST-LENOX,3,0.35,0.0,391942
10035,14896,0,LEXINGTON-53 ST,EM6,0.3,0.0,4110987
